% # columns="iteration, evaluation, sigma, max axis length,  min axis length, all principal axes lengths  (sorted square roots of eigenvalues of C)", seed=161168, Wed Nov 26 12:23:00 2025
21 336 0.06340380224016669 1.4960234913756807 0.8344744428278329 0.8344744428278329 0.8468047356425893 0.8582237490013572 0.8714540092583837 0.8789329370732646 0.9106547256382285 0.9169203354858453 0.9302665887468938 0.9387231190713541 0.9526171219574738 0.9670301915536144 0.9904185390132266 1.0015554376564269 1.0060491821704316 1.0159888356946074 1.0386422762796201 1.0543033902148617 1.0654875223886593 1.0759439157469646 1.0972741987425572 1.1806325000543028 1.4960234913756807
22 352 0.061630643172624316 1.4926803067442593 0.8304087065172319 0.8304087065172319 0.8479034425853306 0.8586333115451473 0.8663883092883596 0.8757288619890561 0.909352419655492 0.9176874975724307 0.924907917898328 0.9366150347664316 0.9533780423172611 0.9603728175664004 0.9871369091581282 0.9929052299203257 1.0031821330333563 1.0132202941682098 1.048846268620829 1.0571938373164869 1.0610205297320596 1.072099781744716 1.1124249810566122 1.1789211588576347 1.4926803067442593
23 368 0.06262069136765223 1.4912396457457913 0.8244776873706239 0.8244776873706239 0.8471143401391732 0.851588586725266 0.8598929349052756 0.877034320960595 0.9115704776106947 0.9164348503169043 0.9215066570728092 0.9397702771517368 0.9565964576740342 0.9622996314039289 0.9886209171072224 0.9923400090626193 0.9980382180556875 1.014231369076585 1.0388850646448524 1.054718861075733 1.057180966883793 1.0634662818235672 1.1100302419572985 1.1769665610116051 1.4912396457457913
24 384 0.06468316559235769 1.4902706798309744 0.814165286866626 0.814165286866626 0.8374293635742358 0.8523061384026945 0.8608291869247859 0.8625425464242792 0.9068439660511637 0.9195888409209643 0.932439939256115 0.9426857166571805 0.9583866190969256 0.9622919650816143 0.9879627058559685 0.9930177905313424 1.0059623335305101 1.016472014228931 1.0324056829744446 1.0539141451698633 1.0598790522681991 1.070730606210033 1.122771141157916 1.1890465521781035 1.4902706798309744
25 400 0.06674687299617532 1.5134371091521794 0.8139009483624722 0.8139009483624722 0.8334496159610213 0.8466359064912048 0.8560990054548828 0.8640890977636831 0.9057168361393627 0.9130692371545782 0.9252911433695977 0.943560881025505 0.9518498665023231 0.964011887391879 0.9859025246971511 0.9888643703582546 1.0047278805455484 1.0169265999845063 1.0367043218268563 1.0548786196289222 1.068935365446114 1.0753804974895556 1.1246760491334333 1.191166240888205 1.5134371091521794
26 416 0.06925510163414897 1.5171941422521238 0.808782189660812 0.808782189660812 0.8244864557680048 0.8329618347849816 0.85266246922941 0.8656520936585109 0.9015406410066227 0.9081256489690894 0.9227517650387502 0.9409594909030337 0.9513474598724584 0.963647663201555 0.9821938137184947 0.9886906833640859 1.0046160053095927 1.0149707869999247 1.0327024104163283 1.0596585080336676 1.0809861078726655 1.0877854952748878 1.1398236419833958 1.2017673134934193 1.5171941422521238
27 432 0.06927988042158534 1.5175641602492396 0.8011602800404173 0.8011602800404173 0.8310216777541566 0.832506098201842 0.8486156646809795 0.8687724678610725 0.8998372019001347 0.9099035948153843 0.9210369968779302 0.9374437756742053 0.9483361401898568 0.9640152382485775 0.9831703504279189 0.9952460007099074 0.9987565976908752 1.00505950928721 1.029024841127664 1.0606201818666383 1.0792486340543603 1.0821107317022725 1.1412441190921696 1.2168433342356269 1.5175641602492396
28 448 0.068111340109813 1.5178805968144022 0.8029951384653129 0.8029951384653129 0.8265400218660932 0.8293068686658667 0.842481782851478 0.8629321068974425 0.884450457753656 0.9074097127029671 0.9205192739682376 0.9348984595417013 0.9493332337193638 0.9679189985767985 0.9795895256349078 0.9926270513868533 0.996878392354676 1.0096365973120494 1.0284953150978822 1.055851614467425 1.0755593186589993 1.0777512984997226 1.1393741582223091 1.2381529516026255 1.5178805968144022
29 464 0.06867232101508296 1.5171798466822386 0.8001614539283428 0.8001614539283428 0.8230264231414192 0.826225658232419 0.8391330037036231 0.8508147564313131 0.8829876070951581 0.9034872613509983 0.9154718434276994 0.9327386377377908 0.9504048186606292 0.9625262212120111 0.9805391889116669 0.9850949438050545 0.9915818652189416 1.0061918165351418 1.0265944955955622 1.055249063399567 1.0689084484115834 1.0780951320537961 1.1385829827177316 1.2541158034322444 1.5171798466822386
30 480 0.0692851811671199 1.5109642091099473 0.7945485797041114 0.7945485797041114 0.816669659138514 0.8223967864285389 0.8317148367457416 0.8466649632349972 0.8835056545232295 0.9081244500478032 0.9184660116939475 0.9370223358129459 0.9465051042875391 0.9589576443593493 0.9748527173500152 0.9785687753903285 0.9904652349454466 1.0076299657752532 1.0218327274884853 1.0554972101898286 1.0732168537500062 1.080468014578834 1.1400022622425834 1.2769217968040762 1.5109642091099473
